"country","edu.att","year","sigma"
"Tunisia","no.edu.primary","2010",NA
"Tunisia","no.edu.primary","2011",NA
"Tunisia","no.edu.primary","2012",NA
"Tunisia","no.edu.primary","2013",NA
"Tunisia","no.edu.primary","2014",NA
"Tunisia","no.edu.primary","2015",NA
"Tunisia","no.edu.primary","2016",NA
"Tunisia","no.edu.primary","2017",NA
"Tunisia","secondary.higher","1978",0.386619311075986
"Tunisia","secondary.higher","1979",0.386619311075986
"Tunisia","secondary.higher","1980",0.386619311075986
"Tunisia","secondary.higher","1981",0.386619311075986
"Tunisia","secondary.higher","1982",0.386619311075986
"Tunisia","secondary.higher","1983",0.386619311075986
